group,geneid
hyp_tissue,102093948
hyp_tissue,102093957
hyp_tissue,102093967
hyp_tissue,102093972
hyp_tissue,102094019
hyp_tissue,102094116
hyp_tissue,102094151
hyp_tissue,102094154
hyp_tissue,102094170
hyp_tissue,102094263
hyp_tissue,102094291
hyp_tissue,102094312
hyp_tissue,102094365
hyp_tissue,102094379
hyp_tissue,102094457
hyp_tissue,102094475
hyp_tissue,102094555
hyp_tissue,102094573
hyp_tissue,102094605
hyp_tissue,102094658
hyp_tissue,102094791
hyp_tissue,102094792
hyp_tissue,102094804
hyp_tissue,102094806
hyp_tissue,102094828
hyp_tissue,102094857
hyp_tissue,102094875
hyp_tissue,102094888
hyp_tissue,102094896
hyp_tissue,102094914
hyp_tissue,102094917
hyp_tissue,102094970
hyp_tissue,102094983
hyp_tissue,102095037
hyp_tissue,102095050
hyp_tissue,102095070
hyp_tissue,102095100
hyp_tissue,102095108
hyp_tissue,102095124
hyp_tissue,102095144
hyp_tissue,102095147
hyp_tissue,102095188
hyp_tissue,102095192
hyp_tissue,102095265
hyp_tissue,102095272
hyp_tissue,102095288
hyp_tissue,102095319
hyp_tissue,102095335
hyp_tissue,102095349
hyp_tissue,102095356
hyp_tissue,102095359
hyp_tissue,102095373
hyp_tissue,102095379
hyp_tissue,102095443
hyp_tissue,102095454
hyp_tissue,102095514
hyp_tissue,102095527
hyp_tissue,102095568
hyp_tissue,102095592
hyp_tissue,102095622
hyp_tissue,102095627
hyp_tissue,102095774
hyp_tissue,102095792
hyp_tissue,102095794
hyp_tissue,102095903
hyp_tissue,102095941
hyp_tissue,102095946
hyp_tissue,102095960
hyp_tissue,102095993
hyp_tissue,102096065
hyp_tissue,102096071
hyp_tissue,102096079
hyp_tissue,102096170
hyp_tissue,102096190
hyp_tissue,102096245
hyp_tissue,102096248
hyp_tissue,102096280
hyp_tissue,102096284
hyp_tissue,102096290
hyp_tissue,102096291
hyp_tissue,102096303
hyp_tissue,102096349
hyp_tissue,102096376
hyp_tissue,102096610
hyp_tissue,102096632
hyp_tissue,102096667
hyp_tissue,102096723
hyp_tissue,102096732
hyp_tissue,102096733
hyp_tissue,102096736
hyp_tissue,102096737
hyp_tissue,102096764
hyp_tissue,102096781
hyp_tissue,102096809
hyp_tissue,102096849
hyp_tissue,102096886
hyp_tissue,102096900
hyp_tissue,102096922
hyp_tissue,102096932
hyp_tissue,102096942
hyp_tissue,102096995
hyp_tissue,102096999
hyp_tissue,102097005
hyp_tissue,102097019
hyp_tissue,102097026
hyp_tissue,102097030
hyp_tissue,102097071
hyp_tissue,102097092
hyp_tissue,102097096
hyp_tissue,102097098
hyp_tissue,102097108
hyp_tissue,102097143
hyp_tissue,102097151
hyp_tissue,102097183
hyp_tissue,102097208
hyp_tissue,102097247
hyp_tissue,102097262
hyp_tissue,102097325
hyp_tissue,102097326
hyp_tissue,102097386
hyp_tissue,102097388
hyp_tissue,102097432
hyp_tissue,102097454
hyp_tissue,102097457
hyp_tissue,102097478
hyp_tissue,102097480
hyp_tissue,102097481
hyp_tissue,102097492
hyp_tissue,102097509
hyp_tissue,102097524
hyp_tissue,102097532
hyp_tissue,102097575
hyp_tissue,102097638
hyp_tissue,102097648
hyp_tissue,102097660
hyp_tissue,102097678
hyp_tissue,102097721
hyp_tissue,102097734
hyp_tissue,102097777
hyp_tissue,102097823
hyp_tissue,102097867
hyp_tissue,102097913
hyp_tissue,102097934
hyp_tissue,102097944
hyp_tissue,102097962
hyp_tissue,102098035
hyp_tissue,102098036
hyp_tissue,102098052
hyp_tissue,102098087
hyp_tissue,102098110
hyp_tissue,102098128
hyp_tissue,102098150
hyp_tissue,102098174
hyp_tissue,102098188
hyp_tissue,102098214
hyp_tissue,102098231
hyp_tissue,102098284
hyp_tissue,102098285
hyp_tissue,102098304
hyp_tissue,102098376
hyp_tissue,102098485
hyp_tissue,102098489
hyp_tissue,102098513
hyp_tissue,102098592
hyp_tissue,102098599
hyp_tissue,102098626
hyp_tissue,102098640
hyp_tissue,102098682
hyp_tissue,102098693
hyp_tissue,102098698
hyp_tissue,102098703
hyp_tissue,102098759
hyp_tissue,102098773
hyp_tissue,102098785
hyp_tissue,102098794
hyp_tissue,102098812
hyp_tissue,102098825
hyp_tissue,102098827
hyp_tissue,102098833
hyp_tissue,102098933
hyp_tissue,102098960
hyp_tissue,102098968
hyp_tissue,102099009
hyp_tissue,102099035
hyp_tissue,103624156
hyp_tissue,103756309
hyp_tissue,103894598
hyp_tissue,103896034
hyp_tissue,103897303
hyp_tissue,103898716
hyp_tissue,103899833
hyp_tissue,103900915
hyp_tissue,103900996
hyp_tissue,103901019
hyp_tissue,103901448
hyp_tissue,103912664
hyp_tissue,103916520
hyp_tissue,103919613
hyp_tissue,104019406
hyp_tissue,104020946
hyp_tissue,104021666
hyp_tissue,104022714
hyp_tissue,104123900
hyp_tissue,104828202
hyp_tissue,104829460
hyp_tissue,104830094
hyp_tissue,105399069
hyp_tissue,105399101
hyp_tissue,105399136
hyp_tissue,105399224
hyp_tissue,105399317
hyp_tissue,105399676
hyp_tissue,105400017
hyp_tissue,105401876
hyp_tissue,105402620
hyp_tissue,105402761
hyp_tissue,105403678
hyp_tissue,105404205
hyp_tissue,105404296
hyp_tissue,105404927
hyp_tissue,105405418
hyp_tissue,105405835
hyp_tissue,105406549
hyp_tissue,105407205
hyp_tissue,105407467
hyp_tissue,105408273
hyp_tissue,105409483
hyp_tissue,105409501
hyp_tissue,105411248
hyp_tissue,105411720
hyp_tissue,105413431
hyp_tissue,105415935
hyp_tissue,105415938
hyp_tissue,105416035
hyp_tissue,106145825
hyp_tissue,106145881
hyp_tissue,106145981
hyp_tissue,106895486
hyp_tissue,106896452
hyp_tissue,110355591
hyp_tissue,110355616
hyp_tissue,110355808
hyp_tissue,110355830
hyp_tissue,110356341
hyp_tissue,110356502
hyp_tissue,110357987
hyp_tissue,110358544
hyp_tissue,110358848
hyp_tissue,110359908
hyp_tissue,110360930
hyp_tissue,110361235
hyp_tissue,110361671
hyp_tissue,110362363
hyp_tissue,110365053
incd17_time,102083714
incd17_time,102093732
incd17_time,102097737
incd3_time,102083444
incd3_time,102083875
incd3_time,102084648
incd3_time,103901499
incd3_time,104071552
incd9_time,102088051
lay_time,102083681
lay_time,102083713
lay_time,102083743
lay_time,102083963
lay_time,102084294
lay_time,102084336
lay_time,102084343
lay_time,102084459
lay_time,102084884
lay_time,102084940
lay_time,102084949
lay_time,102085047
lay_time,102085077
lay_time,102085861
lay_time,102086145
lay_time,102086336
lay_time,102086548
lay_time,102086596
lay_time,102086659
lay_time,102086820
lay_time,102086863
lay_time,102086898
lay_time,102087208
lay_time,102087320
lay_time,102087730
lay_time,102087828
lay_time,102088360
lay_time,102088543
lay_time,102088591
lay_time,102088789
lay_time,102089043
lay_time,102089234
lay_time,102089287
lay_time,102089329
lay_time,102089790
lay_time,102090118
lay_time,102090470
lay_time,102090527
lay_time,102090869
lay_time,102090916
lay_time,102090934
lay_time,102091080
lay_time,102091118
lay_time,102091241
lay_time,102091532
lay_time,102091818
lay_time,102092011
lay_time,102092333
lay_time,102092380
lay_time,102092575
lay_time,102092723
lay_time,102093441
lay_time,102093600
lay_time,102093975
lay_time,102094337
lay_time,102094423
lay_time,102094576
lay_time,102094602
lay_time,102094689
lay_time,102094745
lay_time,102095071
lay_time,102096113
lay_time,102096118
lay_time,102096336
lay_time,102096452
lay_time,102096482
lay_time,102096568
lay_time,102097065
lay_time,102097109
lay_time,102097392
lay_time,102097471
lay_time,102097605
lay_time,102097607
lay_time,102097815
lay_time,102097838
lay_time,102098044
lay_time,102098551
lay_time,102098890
lay_time,105405030
lay_time,105408357
lay_time,105410356
lay_time,106146005
lay_time,110355908
male_sex,102083407
male_sex,102083471
